filename,Bi,SBi,Si,$REPET,StepCounter,ambientTemp,meanTemp,meanSensors,meanOpinion,sdevOpinion,minOpinion,maxOpinion,meanReliability,mnOpinErr!,mnSensErr!,mnOpSensDiff!,mnOpAmbDiff!,providersCount,cntProviders,newProviders,delProviders,self_net,meanDistSelf,meanDistNet,liveCount,link_up,link_dw,sensor_up,sensor_dw,howManyLinks,Ambient_waves_numb,Scrambs_numb,HistTooLow,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,HistTooHig,mnSensAmbDiff!,ratioRTSI2WoC
RTSIsc1.48dRnd0000010513_Ne.4Si50_Cr.0Bi-37.00-5SBi-07.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-37.0,-7.5,50.0,50.5,319.5,0.19244722,-60.524868,-93.19974,-83.99249,446.84644,-109.29164,22.123486,0.3263937,23.396421,32.17639,8.745188,83.70184,41.513344,26.026016,15.487329,15.422922,21.318657,94.43446,84.58835,159.75,95.954796,63.795204,63.795204,95.954796,632.16,5.5401874,36.98,0.0,14.387875,39.751877,54.23828,62.778156,85.872765,177.366,56.80864,47.42617,41.832127,51.69811,0.0,93.39219,0.8946558
RTSIsc1.48dRnd0000010073_Ne.4Si50_Cr.0Bi23.00-5SBi-10.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,23.0,-10.0,50.0,50.5,319.5,0.31688476,-79.97069,-58.50435,-44.74918,390.53595,-94.49509,35.683918,0.27898887,34.72253,20.966375,13.270016,44.640892,37.234764,24.093891,13.140875,13.084734,18.045563,59.899548,45.58315,159.75,105.58275,54.16725,54.16725,105.58275,632.44,5.4778595,36.83,0.0,14.0655,32.992672,43.479782,51.19514,76.88584,186.41801,59.149204,51.675827,46.83872,69.739296,0.0,58.82123,0.7542575
RTSIsc1.48dRnd0000010720_Ne.4Si50_Cr.0Bi-30.00-5SBi-06.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-30.0,-6.5,50.0,50.5,319.5,0.29605225,-52.914528,-81.09761,-69.46362,419.61746,-105.755486,23.97557,0.29334447,16.715641,27.68072,11.150625,69.30611,38.32981,24.562344,13.767468,13.706813,18.593142,82.3794,70.26463,159.75,102.91716,56.832844,56.832844,102.91716,632.5,5.6100626,36.81,0.0,11.865297,34.36097,46.95167,56.17883,81.764565,184.40652,58.636158,50.298046,45.08222,62.95572,0.0,81.39366,0.8479439
RTSIsc1.48dRnd0000013469_Ne.4Si50_Cr.0Bi19.00-5SBi07.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,19.0,7.0,50.0,50.5,319.5,0.112621866,57.297882,75.63436,62.947098,395.90414,-25.210146,106.5028,0.2833776,7.3709846,17.836374,12.198828,62.36639,37.695686,24.269094,13.426594,13.365907,17.065516,76.50904,63.238503,159.75,105.41597,54.33403,54.33403,105.41597,632.1,5.5950627,36.97,0.0,9.854172,30.683687,45.451767,55.653202,82.13885,184.30223,60.11733,51.964985,46.062187,65.8716,0.0,75.521736,0.82302356
RTSIsc1.48dRnd0000012822_Ne.4Si50_Cr.0Bi-28.00-5SBi04.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-28.0,4.0,50.0,50.5,319.5,0.27038467,34.298073,6.694686,3.1049407,267.5529,-61.177776,64.948654,0.36024153,30.693735,27.104156,5.508844,4.731203,45.36014,28.475954,16.884188,16.814579,21.774813,17.728876,10.828686,159.75,90.187904,69.562096,69.562096,90.187904,632.76,5.4401407,37.07,0.0,5.336344,28.97225,56.459873,77.809296,105.247406,185.21217,61.412422,44.136173,32.412514,35.761547,0.0,10.30284,1.117249
RTSIsc1.48dRnd0000012248_Ne.4Si50_Cr.0Bi-02.00-5SBi01.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-2.0,1.0,50.0,50.5,319.5,0.3983779,8.46794,6.33908,3.1569161,259.00922,-61.32145,63.725975,0.36874017,5.993297,1.7910469,4.885828,4.350875,46.26347,28.94378,17.319687,17.247938,22.246563,16.919914,10.538957,159.75,88.51536,71.23464,71.23464,88.51536,632.18,5.4900937,37.04,0.0,4.94875,28.620672,57.995953,80.42416,108.63044,183.52602,60.83095,43.278717,31.10864,32.815704,0.0,9.283857,1.4578568
RTSIsc1.48dRnd0000011731_Ne.4Si50_Cr.0Bi-19.00-5SBi-01.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-19.0,-1.5,50.0,50.5,319.5,0.3215549,-10.547145,-29.258272,-18.041225,338.6119,-71.63478,59.01512,0.30881393,8.210844,18.210672,10.734984,18.012218,40.428905,25.937548,14.49136,14.430968,18.7045,31.742538,20.809277,159.75,100.35136,59.39864,59.39864,100.35136,631.92,5.5326877,37.06,0.0,8.605968,31.493687,49.76725,62.860626,89.27825,182.35873,60.542686,49.741814,41.802124,55.46886,0.0,29.579828,0.5830212
RTSIsc1.48dRnd0000012529_Ne.4Si50_Cr.0Bi-21.00-5SBi02.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-21.0,2.5,50.0,50.5,319.5,0.20308287,22.669764,1.9730517,0.9858527,262.07394,-61.703842,65.30732,0.37066564,21.197937,20.195171,4.518141,3.9471874,46.649624,29.235453,17.414171,17.34464,22.321938,16.504282,10.292318,159.75,88.212715,71.537285,71.537285,88.212715,631.9,5.5473595,37.36,0.0,4.772172,28.105812,57.94864,81.224785,109.07441,183.33096,61.747295,43.50411,30.760046,31.431767,0.0,8.556285,0.9667942
RTSIsc1.48dRnd0000013032_Ne.4Si50_Cr.0Bi-18.00-5SBi05.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-18.0,5.0,50.0,50.5,319.5,0.30641165,42.03655,24.25342,13.932847,294.42004,-55.211258,70.29002,0.31766987,27.6055,17.28425,9.916625,13.421422,40.861343,26.173906,14.687437,14.623844,19.43125,27.194626,16.859034,159.75,98.46092,61.289078,61.289078,98.46092,631.78,5.5150156,37.25,0.0,7.658,30.737938,51.178047,65.437035,91.61124,184.3767,60.16931,48.097046,39.7587,52.756,0.0,23.992136,0.58292705
RTSIsc1.48dRnd0000010549_Ne.4Si50_Cr.0Bi-01.00-5SBi-07.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-1.0,-7.5,50.0,50.5,319.5,0.14162092,-61.41124,-62.298065,-49.94315,397.74658,-96.68411,36.627243,0.29304132,11.0060625,1.2182813,11.868813,49.637844,39.035923,25.184626,13.851296,13.7915,18.281406,63.5351,50.67175,159.75,103.14553,56.60447,56.60447,103.14553,631.9,5.407625,36.95,0.0,11.415984,32.924595,46.47289,56.274406,81.496765,183.88008,60.12764,51.1105,45.2587,62.93844,0.0,62.439686,0.789731
RTSIsc1.48dRnd0000011341_Ne.4Si50_Cr.0Bi-09.00-5SBi-03.50-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,-9.0,-3.5,50.0,50.5,319.5,0.32374284,-28.695055,-37.455452,-25.623394,352.5728,-78.16306,54.19818,0.30013916,4.7863593,8.2599535,11.350797,25.54803,39.357674,25.218859,14.138812,14.078375,18.19286,39.3607,27.504427,159.75,102.062935,57.68706,57.68706,102.062935,632.06,5.6023593,37.06,0.0,8.857688,31.754454,48.07486,59.558624,86.514015,183.6507,61.20328,50.425,43.376877,58.6445,0.0,37.779236,0.65383106
RTSIsc1.48dRnd0000013494_Ne.4Si50_Cr.0Bi44.00-5SBi07.00-5nA160Am0.0Sm0.25mT0.001No0Al0.1Be0eT0eA160eS0eFS0eFa0.out,44.0,7.0,50.0,50.5,319.5,0.6584153,57.550438,97.349815,87.84697,457.76874,-18.040625,114.03477,0.32048476,30.156687,39.299736,9.047406,86.70784,40.937813,25.719797,15.218016,15.155469,20.83533,97.66103,87.6124,159.75,97.22606,62.523937,62.523937,97.22606,632.12,5.452625,37.02,0.0,13.764969,38.277798,53.366592,62.47106,86.678314,176.00508,57.58789,48.138596,42.457672,53.372032,0.0,96.6914,0.89534736
