filename,Bi,SBi,Si,NUMBER_OF_REPET,MAX_STEP,RANDSEED,FRAMEFREQ,Side_of_world,currCriterion,noiseInfoProb,epochOfAmbient,epochOfScramblers,SCRAMBLERS_FLIP_EPO,epochOfTrust,AGENTS_FLIP_EPO,phaseStepForAmbient,MAXAMP,minNumOfWaves,maxNumOfWaves,IntMode,minNumOfScramblers,maxNumOfScramblers,SCRAMB_BIAS_MEAN,SCRAMB_BIAS_DISP,epochOfScramblers,ScramblerEuclid,ScramblerMOVEMENT,NumberOfAgents,AgentMOVEMENT,AgentBrownian,networkType,epochOfTrust,symetricConnections,minInitialTrust,maxInitialTrust,maxERRORofSensors,MIN_TRUST,BIASmean_for_typical_agents,BIAS_DISP,MAX_RECUR_LEVEL,ALFA,BETA,GAMA,LENGTH_of_LEARNING,STEPSperSTAT,REAL_REPET,LAST_REP_ST,OpiAmbDif_fin_N,OpiAmbDif_fin_MIN,OpiAmbDif_fin_HAMN,OpiAmbDif_fin_SQMN,OpiAmbDif_fin_MEAN,OpiAmbDif_fin_QUMN,OpiAmbDif_fin_MAX,OpiAmbDif_fin_STDD,OpiAmbDif_fin_MED,SenAmbDif_fin_N,SenAmbDif_fin_MIN,SenAmbDif_fin_HAMN,SenAmbDif_fin_SQMN,SenAmbDif_fin_MEAN,SenAmbDif_fin_QUMN,SenAmbDif_fin_MAX,SenAmbDif_fin_STDD,SenAmbDif_fin_MED,TomRatio_fin_N,TomRatio_fin_MIN,TomRatio_fin_HAMN,TomRatio_fin_SQMN,TomRatio_fin_MEAN,TomRatio_fin_QUMN,TomRatio_fin_MAX,TomRatio_fin_STDD,TomRatio_fin_MED
RTSIsc1.49gRnd0000011199_Ne.4Si50_Cr.0Bi48.00-20SBi-05.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,48.0,-5.0,50.0,25,1600,11199,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,48,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.470446,3.39585,4.1591,5.56531,32.4071,13.6746,3.18206,40000,0.000162601,1.1318,10.1911,12.0145,14.7109,37.2758,72.0624,11.6877,40000,0,0.0739121,0.478356,1.31276,43.3128,6270.63,1874.27,0.348683
RTSIsc1.49gRnd0000010808_Ne.4Si50_Cr.0Bi-43.00-20SBi-06.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-43.0,-6.5,50.0,25,1600,10808,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-6.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-43,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,78.2633,79.5087,79.974,80.7858,113.967,130.505,81.1858,40000,69.8986,96.1387,96.8371,97.0558,97.4734,117.773,81.2382,98.4603,40000,0,0.81686,0.819791,0.82155,0.824203,1.0268,0.0043663,0.831589
RTSIsc1.49gRnd0000011694_Ne.4Si50_Cr.0Bi43.00-20SBi-02.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,43.0,-2.5,50.0,25,1600,11694,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-2.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,43,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,1.12512,7.98766,9.60254,12.5066,50.1283,64.206,7.51038,40000,0.00528908,8.2676,21.2064,22.905,25.5236,53.8508,126.813,23.0169,40000,0,0.106466,0.379303,0.479548,3.73564,590.682,13.725,0.384356
RTSIsc1.49gRnd0000011731_Ne.4Si50_Cr.0Bi-20.00-20SBi-02.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-20.0,-2.0,50.0,25,1600,11731,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-2,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-20,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,6.60682,16.3299,17.8153,20.3499,53.4033,96.7323,16.3254,40000,13.4758,35.5475,37.0324,37.5156,38.4641,66.1028,72.0647,36.6675,40000,0,0.205338,0.429699,0.452815,0.488042,1.07988,0.0331436,0.458225
RTSIsc1.49gRnd0000010170_Ne.4Si50_Cr.0Bi19.00-20SBi-10.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,19.0,-10.0,50.0,25,1600,10170,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-10,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,19,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,48.1276,50.8114,51.6081,53.0015,94.4464,145.759,52.1362,40000,44.9619,71.1832,72.4458,72.8515,73.6374,95.8404,115.13,73.1061,40000,0,0.684551,0.698307,0.702817,0.710351,1.02562,0.0106468,0.719767
RTSIsc1.49gRnd0000010728_Ne.4Si50_Cr.0Bi-23.00-20SBi-07.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-23.0,-7.0,50.0,25,1600,10728,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-7,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-23,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,37.2405,59.4619,60.7491,62.6257,100.736,231.528,63.6628,40000,49.602,80.784,82.0455,82.4357,83.1726,106.608,122.04,84.6143,40000,0,0.484326,0.720414,0.729425,0.740898,1.02874,0.0168693,0.762651
RTSIsc1.49gRnd0000012631_Ne.4Si50_Cr.0Bi-20.00-20SBi02.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-20.0,2.5,50.0,25,1600,12631,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,2.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-20,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,0.30722,2.00253,2.34405,2.91143,16.1872,2.98188,2.03976,40000,9.39369e-05,0.879243,6.47457,7.24045,8.38719,22.2831,17.9208,6.9479,40000,0,0.0546641,0.458948,1.78601,131.334,25590.2,17245.3,0.317672
RTSIsc1.49gRnd0000013318_Ne.4Si50_Cr.0Bi-33.00-20SBi06.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-33.0,6.0,50.0,25,1600,13318,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,6,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-33,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,1.22777,6.96782,8.26539,10.2931,39.498,37.6305,7.01913,40000,0.00803506,12.7666,20.4873,21.7784,23.8186,47.0079,93.0268,22.8467,40000,0,0.106358,0.328286,0.371989,1.1477,190.148,1.17885,0.356781
RTSIsc1.49gRnd0000011044_Ne.4Si50_Cr.0Bi-07.00-20SBi-05.50-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-7.0,-5.5,50.0,25,1600,11044,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-5.5,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-7,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,18.6942,31.6434,33.3379,36.0081,81.5717,185.171,33.0269,40000,18.9901,51.2245,53.8853,54.6825,56.1604,86.5866,163.811,54.7839,40000,0,0.424284,0.5754,0.589416,0.610305,1.06342,0.0250613,0.621031
RTSIsc1.49gRnd0000011922_Ne.4Si50_Cr.0Bi-29.00-20SBi-01.00-5nA400Am0.0Sm0.5mT0.001No0Al0.1Be0eT0eA400eS0eFS0eFa0.par,-29.0,-1.0,50.0,25,1600,11922,500,50,0,0,400,,0,,0,0.015708,20,8,16,1,38,42,-1,5,0,0,0.5,400,0,0,4,0,1,0.5,0.5,10,0.001,-29,20,6,0.1,0,0.1,-1,1,26,1600,40000,0,4.15984,16.2574,17.8002,20.2198,52.4962,91.9932,17.286,40000,12.3302,33.2059,35.8482,36.669,38.1846,58.0942,113.444,37.108,40000,0,0.179714,0.438584,0.460152,0.491696,1.08705,0.0300246,0.478418
